STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2301,TAYLOR SLU A CANAL R,TAYLOR SLU A CANAL RD,B9D80211402,38.0344,-121671,Contra Costa
2302,FRANKS TRACT A STA 9,FRANKS TRACT A STA 9,B9D80231359,38.0388,-121.6,Contra Costa
2303,FRANKS TRACT A STA 8,FRANKS TRACT A STA 8,B9D80251363,38.0466,-121609,Contra Costa
2304,FRANKS TRACT A STA 7,FRANKS TRACT A STA 7,B9D80261366,38.0435,-121612,Contra Costa
2305,TAYLOR SLU NR PIPER ,TAYLOR SLU NR PIPER SLU,B9D80261399,38.0424,-121666,Contra Costa
2306,SAN JOAQUIN R A JERS,SAN JOAQUIN R A JERSEY ISL,B9D80261415,38.0435,-121693,Contra Costa
2307,DISAPPOINTMENT SLU N,DISAPPOINTMENT SLU NR LODI,B9D80271233,38.0449,-121389,San Joaquin
2308,FRANKS TRACT A STA 6,FRANKS TRACT A STA 6,B9D80281370,38046,-121617,Contra Costa
2309,SAN JOAQUIN R A MEDF,SAN JOAQUIN R A MEDFORD ISL FY,B9D80291303,38.0483,-121505,San Joaquin
2310,SAN JOAQUIN R NR MO ,SAN JOAQUIN R NR MO OF MIDDLE R,B9D80291320,38.0483,-121535,San Joaquin
2311,FRANKS TRACT A STA 5,FRANKS TRACT A STA 5,B9D80291373,38.0483,-121623,Contra Costa
2312,FALSE R BL PIPER SLU,FALSE R BL PIPER SLU,B9D80341394,38.0563,-121658,Contra Costa
2313,BISHOP CUT A ATHERTO,BISHOP CUT A ATHERTON RD BR,B9D80351251,38.0583,-121.42,San Joaquin
2314,LITTLE CONNECTION EM,LITTLE CONNECTION EMPIRE ATHERTON,B9D80361300,38.0599,-121501,San Joaquin
2315,SAN JOAQUIN R A MO O,SAN JOAQUIN R A MO OF FALSE R,B9D80361408,38.0605,-121.68,Sacramento
